Date,topic_coherence,topic_coherence_diff,recon_ratio
12/06/2012,0.69428196,0.912965953,0.003281698
13/06/2012,0.688380241,0.898551941,0.005437303
14/06/2012,0.705737019,0.90622437,0.005758466
15/06/2012,0.674979925,0.841956258,0.005109268
18/06/2012,0.694643974,0.867128193,0.00682394
19/06/2012,0.719431686,0.857962728,0.001962674
20/06/2012,0.690414333,0.89392519,0.007700106
21/06/2012,0.719667625,0.850189805,0.00389239
22/06/2012,0.646634293,0.834052265,0.003586636
25/06/2012,0.64337883,0.841973424,0.008566808
26/06/2012,0.670114231,0.876095653,0.002363122
27/06/2012,0.670895767,0.927308261,0.007912643
28/06/2012,0.607416916,0.873624623,0.004853475
29/06/2012,0.636650467,0.843369842,0.003605858
02/07/2012,0.687183952,0.834200382,0.008332939
05/07/2012,0.656735516,0.852115035,0.005167465
06/07/2012,0.645515823,0.842205644,0.001838332
09/07/2012,0.694625425,0.853561282,0.010217733
10/07/2012,0.682856607,0.851296067,0.005710656
11/07/2012,0.686945534,0.854385197,0.00700824
12/07/2012,0.74119339,0.881953359,0.005547562
13/07/2012,0.708387518,0.873208225,0.007961872
16/07/2012,0.749175358,0.887684643,0.00915316
17/07/2012,0.697763062,0.877416134,0.001457236
18/07/2012,0.678142357,0.881270885,0.005843592
19/07/2012,0.589920425,0.89389956,0.00530654
20/07/2012,0.580147362,0.805656731,0.003928631
23/07/2012,0.649276543,0.865584731,0.008304625
24/07/2012,0.6856987,0.844931483,0.00265645
25/07/2012,0.693869781,0.887441814,0.006234658
26/07/2012,0.732374382,0.861779571,0.006401802
27/07/2012,0.690688133,0.831946075,0.006048464
30/07/2012,0.69761219,0.823896229,0.008940439
31/07/2012,0.721126175,0.853217721,0.003516572
01/08/2012,0.709929276,0.866570175,0.005914581
02/08/2012,0.717102623,0.847866356,0.006619699
03/08/2012,0.640266514,0.859017372,0.004975547
06/08/2012,0.720043278,0.829557717,0.007543868
07/08/2012,0.655710793,0.872056842,0.002617644
08/08/2012,0.667474747,0.855743527,0.006647811
09/08/2012,0.757502365,0.857957482,0.007059955
10/08/2012,0.679932022,0.862383008,0.006361503
13/08/2012,0.689569092,0.852155209,0.007453957
14/08/2012,0.608199692,0.871490598,0.001941953
15/08/2012,0.663353348,0.806173682,0.006052274
16/08/2012,0.666590595,0.859089851,0.008402698
17/08/2012,0.656438828,0.807138324,0.005301305
20/08/2012,0.79108181,0.859380722,0.007938636
21/08/2012,0.682556343,0.903313041,0.003516187
22/08/2012,0.701345158,0.923637569,0.005768595
23/08/2012,0.728733826,0.890026748,0.006159517
24/08/2012,0.640122414,0.842871308,0.004452672
27/08/2012,0.617189693,0.817973316,0.008620523
28/08/2012,0.695233536,0.802571654,0.003038511
29/08/2012,0.691047955,0.858113408,0.005031332
30/08/2012,0.638899899,0.884492695,0.005343262
31/08/2012,0.715267849,0.877405047,0.005550889
04/09/2012,0.786966896,0.863911033,0.006662
05/09/2012,0.71305933,0.88347733,0.002742319
06/09/2012,0.66903038,0.880084872,0.005009806
07/09/2012,0.694883347,0.856087565,0.003989371
10/09/2012,0.769009399,0.872905731,0.007712379
11/09/2012,0.738872242,0.870605826,0.002943208
12/09/2012,0.632020807,0.869969368,0.00516212
13/09/2012,0.62932663,0.837902069,0.004398367
14/09/2012,0.674623108,0.864557385,0.003596012
17/09/2012,0.758564568,0.872989357,0.007299745
18/09/2012,0.743625736,0.914532483,0.002542162
19/09/2012,0.716414976,0.917774796,0.008351956
20/09/2012,0.692518425,0.909066021,0.007787513
21/09/2012,0.722800255,0.88847208,0.005334467
24/09/2012,0.73120203,0.886741042,0.009091593
25/09/2012,0.700809669,0.870886207,0.001515252
26/09/2012,0.776055336,0.89059031,0.007004827
27/09/2012,0.698797417,0.920989037,0.006488293
28/09/2012,0.725807762,0.884009361,0.00779109
01/10/2012,0.800887012,0.8988657,0.008287469
02/10/2012,0.737620354,0.85214901,0.002800508
03/10/2012,0.718721676,0.839053929,0.005818027
04/10/2012,0.690163422,0.860280216,0.006868046
05/10/2012,0.705315781,0.843987107,0.002690784
08/10/2012,0.783225441,0.817560315,0.01210113
09/10/2012,0.670943451,0.897612691,0.003113528
10/10/2012,0.704811287,0.843039632,0.003449744
11/10/2012,0.698714828,0.879943848,0.007598247
12/10/2012,0.701058006,0.89100039,0.003071769
15/10/2012,0.710571384,0.853697121,0.005880786
16/10/2012,0.67019248,0.868454337,0.00283482
17/10/2012,0.775025845,0.844373703,0.004348813
18/10/2012,0.683620739,0.886194706,0.001998152
19/10/2012,0.663493252,0.867636561,0.006726391
22/10/2012,0.710731888,0.840858638,0.007226813
23/10/2012,0.736479187,0.895009816,0.005084865
24/10/2012,0.725650311,0.863803744,0.00314926
25/10/2012,0.723382282,0.82651794,0.006248217
26/10/2012,0.689669228,0.860949337,0.005542222
31/10/2012,0.740583611,0.806711853,0.00551853
01/11/2012,0.689862061,0.861995995,0.001854976
02/11/2012,0.69511795,0.833313942,0.006659614
05/11/2012,0.70166049,0.834955037,0.006725485
06/11/2012,0.745256901,0.897673309,0.004125152
07/11/2012,0.730527496,0.9023875,0.007991899
08/11/2012,0.693332005,0.820512474,0.002811216
09/11/2012,0.724177361,0.844061971,0.006475765
12/11/2012,0.718567944,0.822454929,0.008288084
13/11/2012,0.700052166,0.888187408,0.002972176
14/11/2012,0.709639072,0.854641616,0.005171366
15/11/2012,0.659132004,0.851287484,0.006135617
16/11/2012,0.636049938,0.858804703,0.006302968
19/11/2012,0.681502724,0.864266038,0.005781279
20/11/2012,0.640054703,0.888254464,0.003023493
