Date,Close
2006-01-03,1182.0
2006-01-04,1186.25
2006-01-05,1185.75
2006-01-06,1197.75
2006-01-09,1202.75
2006-01-10,1202.25
2006-01-11,1206.5
2006-01-12,1198.25
2006-01-13,1199.25
2006-01-17,1194.25
2006-01-18,1189.25
2006-01-19,1195.25
2006-01-20,1172.25
2006-01-23,1174.0
2006-01-24,1176.75
2006-01-25,1175.25
2006-01-26,1184.25
2006-01-27,1193.5
2006-01-30,1195.5
2006-01-31,1189.75
2006-02-01,1191.75
2006-02-02,1180.25
2006-02-03,1172.75
2006-02-06,1174.25
2006-02-07,1163.75
2006-02-08,1174.5
2006-02-09,1172.75
2006-02-10,1176.0
2006-02-13,1172.25
2006-02-14,1184.25
2006-02-15,1188.0
2006-02-16,1197.5
2006-02-17,1195.25
2006-02-21,1191.5
2006-02-22,1200.0
2006-02-23,1195.75
2006-02-24,1197.75
2006-02-27,1202.25
2006-02-28,1187.75
2006-03-01,1198.5
2006-03-02,1197.0
2006-03-03,1194.25
2006-03-06,1185.75
2006-03-07,1182.75
2006-03-08,1185.25
2006-03-09,1179.25
2006-03-10,1188.75
2006-03-13,1191.5
2006-03-14,1205.0
2006-03-15,1210.5
2006-03-16,1213.25
2006-03-17,1214.0
2006-03-20,1211.75
2006-03-21,1203.25
2006-03-22,1211.25
2006-03-23,1208.0
2006-03-24,1208.5
2006-03-27,1207.25
2006-03-28,1198.5
2006-03-29,1207.75
2006-03-30,1205.25
2006-03-31,1200.25
2006-04-03,1202.0
2006-04-04,1210.5
2006-04-05,1215.5
2006-04-06,1212.75
2006-04-07,1199.0
2006-04-10,1200.25
2006-04-11,1190.0
2006-04-12,1191.75
2006-04-13,1191.75
2006-04-17,1188.25
2006-04-18,1210.0
2006-04-19,1212.25
2006-04-20,1213.75
2006-04-21,1213.0
2006-04-24,1209.75
2006-04-25,1203.75
2006-04-26,1206.75
2006-04-27,1211.25
2006-04-28,1212.25
2006-05-01,1206.0
2006-05-02,1214.0
2006-05-03,1209.0
2006-05-04,1212.5
2006-05-05,1226.75
2006-05-08,1225.0
2006-05-09,1224.75
2006-05-10,1222.75
2006-05-11,1206.25
2006-05-12,1190.5
2006-05-15,1194.25
2006-05-16,1191.5
2006-05-17,1169.0
2006-05-18,1160.5
2006-05-19,1166.0
2006-05-22,1160.5
2006-05-23,1155.25
2006-05-24,1156.5
2006-05-25,1172.0
2006-05-26,1178.25
2006-05-30,1158.0
2006-05-31,1168.0
2006-06-01,1182.75
2006-06-02,1185.5
2006-06-05,1163.25
2006-06-06,1161.0
2006-06-07,1152.75
2006-06-08,1154.75
2006-06-09,1148.5
2006-06-12,1132.5
2006-06-13,1119.75
2006-06-14,1127.0
2006-06-15,1152.5
2006-06-16,1147.75
2006-06-19,1135.75
2006-06-20,1136.25
2006-06-21,1148.5
2006-06-22,1141.25
2006-06-23,1140.75
2006-06-26,1147.0
2006-06-27,1135.0
2006-06-28,1141.75
2006-06-29,1168.0
2006-06-30,1165.25
