Date,daily_average,daily_average_fintwit,daily_average_news,daily_average_politics,daily_average_trader,num_tweets
2012-01-03 15:45:00,-0.17547863014159296,-0.17858160541719573,-0.19196587533372253,-0.14655211334102042,-0.1546676013616639,1.0
2012-01-04 15:45:00,-0.2662433881097312,-0.3347666669201201,-0.16664466816565893,-0.2395573902297606,-0.33630343824252174,1.0
2012-01-05 15:45:00,-0.3373706584026579,-0.3843441153258066,-0.29127953746473173,-0.24332039091978802,-0.36869688822518637,1.0
2012-01-06 15:45:00,-0.32587676046653696,-0.35562572860934133,-0.3216141071681031,-0.21421367166571118,-0.3543377910362612,1.0
2012-01-09 15:45:00,-0.25254560761320405,-0.25755439429592464,-0.25537575917301175,-0.23594055997708405,-0.2239048784878376,1.0
2012-01-10 15:45:00,-0.30216794247707623,-0.3322571501372536,-0.26711516123007933,-0.25172998476360625,-0.3361499305704232,1.0
2012-01-11 15:45:00,-0.30678210489693925,-0.36135212229119984,-0.22688267614477395,-0.2374724476070436,-0.33899561144741,1.0
2012-01-12 15:45:00,-0.34462000630997325,-0.37635641494560207,-0.27577678046207105,-0.2926005620791332,-0.34579280810335195,0.8916345442013632
2012-01-13 15:45:00,-0.30732208984090875,-0.33050584647515,-0.29445136613551043,-0.22525271246398704,-0.2957548909375158,0.9256824844265299
2012-01-17 15:45:00,-0.28000326736436254,-0.3006521283279299,-0.2731018958295264,-0.23070929141257024,-0.2593123033925608,0.9999896940153147
2012-01-18 15:45:00,-0.3666958100608061,-0.3952968772922712,-0.3585689403512169,-0.269850453793911,-0.3672063110415266,0.8504103232186837
2012-01-19 15:45:00,-0.32788924706580663,-0.36033464854299113,-0.33852934898191944,-0.20343829887321746,-0.3494521368734832,0.9134995519477097
2012-01-20 15:45:00,-0.29267214919125945,-0.33049872556535764,-0.26427062619923564,-0.2259669376394209,-0.306462222369112,1.0289782380066337
2012-01-23 15:45:00,-0.2404437729918206,-0.25935139242170285,-0.2313076292873722,-0.20388279137266263,-0.2399544938051045,0.9499577702702703
2012-01-24 15:45:00,-0.3326610229051321,-0.36616123018925034,-0.30120666023664733,-0.2656359915789625,-0.33690348250586577,0.9940853400929447
2012-01-25 15:45:00,-0.27346123528798544,-0.3440124700641317,-0.16405720884789138,-0.21151512090009622,-0.32484051135530206,1.0790920014971337
2012-01-26 15:45:00,-0.30370595561319486,-0.34866288805767925,-0.2735782220062003,-0.12147624651008053,-0.34821449885681177,0.9459085722789959
2012-01-27 15:45:00,-0.30116449983215415,-0.33041599555162604,-0.30337855016709303,-0.2030345242303315,-0.32285013920509237,0.9980964206851715
2012-01-30 15:45:00,-0.26046510521488675,-0.2829299082982029,-0.3001929054418335,-0.13102372851444433,-0.2528832342328384,0.8917767766929591
2012-01-31 15:45:00,-0.32716786227059663,-0.3636727768234462,-0.3241932929507235,-0.16980145305342934,-0.35376107136859186,0.8593775042472033
2012-02-01 15:45:00,-0.3172208556028396,-0.36332624372937145,-0.27663781198088383,-0.22783910281156466,-0.34182013314534815,1.0052799438433717
2012-02-02 15:45:00,-0.3341527669745618,-0.3565941501595208,-0.33927469489120304,-0.22351735644187898,-0.3354679299339163,0.9852485301977552
2012-02-03 15:45:00,-0.321312307807652,-0.3398903757203705,-0.3261006750215204,-0.23558763464437874,-0.330293004711469,0.9870069476092597
2012-02-06 15:45:00,-0.25698547463787663,-0.24577741760138022,-0.2948337499560101,-0.24040768834727513,-0.2190543550045839,1.0683207734963742
2012-02-07 15:45:00,-0.32323297697386105,-0.36484420998948097,-0.28269425078421684,-0.20519816114103595,-0.33812401040238504,0.858577190423067
2012-02-08 15:45:00,-0.32763118404769936,-0.3602646801621396,-0.29419205480323724,-0.25511293899157883,-0.3478354007694712,0.9934590354037446
2012-02-09 15:45:00,-0.35400488385241297,-0.3909470423415063,-0.3113089627470852,-0.26181089306530886,-0.38979998187694165,1.0225088045994355
2012-02-10 15:45:00,-0.3127011317891138,-0.3456292150390434,-0.287618346649493,-0.2072670185207296,-0.33916652404819053,0.9883097383097383
2012-02-13 15:45:00,-0.2435361182523572,-0.2507395070547215,-0.22933441660107168,-0.23687673447685556,-0.21701192484652568,0.9955465631970054
2012-02-14 15:45:00,-0.3209376917275794,-0.3570056968366802,-0.26233283758289133,-0.24383330999409797,-0.3208367858668117,0.9526896354129359
2012-02-15 15:45:00,-0.32493184231066985,-0.35068614590364994,-0.3102813074354491,-0.20635188708179875,-0.3347565168604143,0.9787391224425384
2012-02-16 15:45:00,-0.3448972961378306,-0.3759066295877974,-0.2884871469324057,-0.28775888400341937,-0.3458817811216536,0.9832483367679342
2012-02-17 15:45:00,-0.3096946806494551,-0.3213711608177127,-0.31546799008735443,-0.24498787126799104,-0.2829084704152745,0.944122603061811
2012-02-21 15:45:00,-0.226514889229158,-0.23672502032145545,-0.24310563013551054,-0.1705459112136502,-0.19230057161660866,0.9285628069194657
2012-02-22 15:45:00,-0.32097133560116425,-0.34909808178024787,-0.2749291054876008,-0.2735310261287997,-0.32731771151618566,0.8847879326412518
2012-02-23 15:45:00,-0.3235976684901674,-0.3383844588825069,-0.3089226312869418,-0.30018269491719674,-0.31613156291364714,1.0222996327013147
